Institución, Indicador, Rango de Indicador, 2013, 2014, 2015,2016, 2017, 2018, 2019, 2020, 2021,2022, 2023
Univalle, H,    20  <= H index < 50 , 96,  147,  102,  303,  305,  147,  212,  274,  241,  272,  211
Univalle, H,    50 <= H index < 100 , 114,  138,  108,  132,  137,  193,  188,  233,  223,  237,  191
Univalle, H,    100  <= H index < 200 , 87,  125,  133,  136,  155,  188,  184,  233,  254,  222,  217
Univalle, H,    H index >= 200 , 65, 59, 77, 95, 116, 116, 113, 136, 102, 95, 106
Externado, JSR,  0  <= JSR < 2 , 76, 57, 75, 87, 69, 85, 91, 87, 101, 98, 63
Externado, JSR,  2  <= JSR < 5 , 2, 0, 0, 2, 3, 8, 6, 6, 16, 10, 12
Externado, JSR,  5 <= JSR < 10 , 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0
Externado, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Externado, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Externado, H,    0  <= H index < 20 , 71, 53, 63, 73, 59, 56, 70, 65, 63, 65, 34
Externado, H,    20  <= H index < 50 , 5, 1, 3, 8, 5, 19, 14, 10, 27, 28, 24
Externado, H,    50 <= H index < 100 , 0, 3, 7, 7, 3, 9, 8, 11, 14, 3, 8
Externado, H,    100  <= H index < 200 , 0, 0, 2, 1, 5, 7, 5, 6, 10, 8, 7
Externado, H,    H index >= 200 , 2, 0, 0, 0, 0, 2, 2, 1, 3, 5, 2
UdeM, JSR,  0  <= JSR < 2 , 85, 81, 82, 72, 120, 139, 180, 192, 203, 170, 167
UdeM, JSR,  2  <= JSR < 5 , 16, 14, 12, 32, 49, 33, 45, 39, 61, 56, 58
UdeM, JSR,  5 <= JSR < 10 , 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1
UdeM, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
UdeM, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
UdeM, H,    0  <= H index < 20 , 60, 62, 49, 36, 51, 76, 70, 83, 82, 81, 90
UdeM, H,     20  <= H index < 50 , 3, 11, 11, 7, 21, 22, 32, 49, 56, 33, 34
UdeM, H,     50 <= H index < 100 , 18, 4, 18, 20, 39, 29, 63, 42, 40, 40, 25
UdeM, H,     100  <= H index < 200 , 13, 6, 14, 20, 26, 34, 32, 32, 42, 46, 46
UdeM, H,     H index >= 200 , 7, 12, 2, 21, 36, 11, 28, 25, 44, 26, 31
IPN, JSR,  0  <= JSR < 2 , 1790,  2000, 2139,   2213,   2455,   2657,   2728,   2870,   2973,   2902,   2708
IPN, JSR,  2  <= JSR < 5 , 1186,   1136,   1210,   1640,   1407,   1548,   1625,   1841,   1618,   1425,   1310
